X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Test conducted in last 24 hours,X12,X13,Total test conducted,X15,X16,Positive cases in last 24 hours,X18,X19,Total cases,X21,X22,Success rate,X24,X25,X26,X27,X28,X29,X30
Date,Daily new cases,Total Cases,Daily new deaths,Total deaths,Death rate,New Tests,Total Tests,link,NA,IEDCR Lab,Other Lab,Total,IEDCR Lab,Other Lab,Total,IEDCR Lab,Other Lab,Total,IEDCR Lab,Other Lab,Total,Other Lab,IEDCR,তারিখ,দৈনিক মৃত্যু (সরকারি),দৈনিক মৃত্যু (বেসরকারি),মোট মৃত্যু (সরকারি),মোট মৃত্যু (বেসরকারি),সর্বমোট মৃত্যু
08/03/2020,3,3,0,0,0,NA,111,https://www.prothomalo.com/bangladesh/article/1643736,https://www.iedcr.gov.bd/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/03/2020,0,0,0,0,0
09/03/2020,0,3,0,0,0,NA,NA,https://www.prothomalo.com/bangladesh/article/1643906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/03/2020,0,0,0,0,0
10/03/2020,0,3,0,0,0.00,NA,NA,https://www.prothomalo.com/bangladesh/article/1644044/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/03/2020,0,0,0,0,0
11/03/2020,0,3,0,0,0.00,10,NA,https://www.prothomalo.com/bangladesh/article/1644245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/03/2020,0,1,0,1,1
12/03/2020,0,3,0,0,0.00,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/03/2020,0,0,0,1,1
13/03/2020,0,3,0,0,0.00,24,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/03/2020,0,0,0,1,1
14/03/2020,0,3,0,0,0.00,24,211,https://www.prothomalo.com/bangladesh/article/1644887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/03/2020,0,0,0,1,1
15/03/2020,2,5,0,0,0.00,NA,NA,https://www.prothomalo.com/bangladesh/article/1640328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/03/2020,0,0,0,1,1
16/03/2020,3,8,0,0,0.00,NA,268,https://www.prothomalo.com/bangladesh/article/1645134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/03/2020,0,0,0,1,1
17/03/2020,2,10,0,0,0.00,24,292,https://www.prothomalo.com/bangladesh/article/1645316/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/03/2020,0,0,0,1,1
18/03/2020,4,14,1,1,7.14,49,341,https://www.prothomalo.com/bangladesh/article/1645525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/03/2020,1,0,1,1,2
19/03/2020,3,17,0,1,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/03/2020,0,3,1,4,5
20/03/2020,3,20,0,1,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/03/2020,0,1,1,4,5
21/03/2020,4,24,1,2,8.33,NA,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/03/2020,1,0,2,4,6
22/03/2020,3,27,0,2,7.41,65,564,https://www.prothomalo.com/bangladesh/article/1646318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/03/2020,0,3,2,8,10
23/03/2020,6,33,1,3,9.09,56,620,https://www.prothomalo.com/bangladesh/article/1646517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/03/2020,1,0,3,7,10
24/03/2020,6,39,1,4,10.26,92,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/03/2020,1,4,4,12,16
25/03/2020,0,39,1,5,12.82,82,794,https://www.prothomalo.com/bangladesh/article/1646857/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/03/2020,1,3,5,15,20
26/03/2020,5,44,0,5,11.36,126,920,https://www.prothomalo.com/bangladesh/article/1647083/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/03/2020,0,5,5,20,25
27/03/2020,4,48,0,5,10.42,106,1026,https://www.prothomalo.com/bangladesh/article/1647195/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/03/2020,0,4,5,24,29
28/03/2020,0,48,0,5,10.42,50,1076,https://www.prothomalo.com/bangladesh/article/1647434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28/03/2020,0,7,5,31,36
29/03/2020,0,48,0,5,10.42,109,1185,https://www.prothomalo.com/bangladesh/article/1647619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/03/2020,0,8,5,39,44
30/03/2020,1,49,0,5,10.20,153,1338,https://www.prothomalo.com/bangladesh/article/1647796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30/03/2020,0,8,5,47,52
31/03/2020,2,51,0,5,9.80,140,1478,https://www.banglatribune.com/national/news/616356/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/03/2020,0,16,5,63,68
01/04/2020,3,54,1,6,11.11,157,1635,https://www.prothomalo.com/bangladesh/article/1648150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/04/2020,1,8,6,71,77
02/04/2020,2,56,0,6,10.71,141,1776,https://www.prothomalo.com/bangladesh/article/1648329/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/04/2020,0,1,6,72,78
03/04/2020,5,61,0,6,9.84,180,2086,https://www.prothomalo.com/bangladesh/article/1648535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/04/2020,0,5,6,77,83
04/04/2020,9,70,2,8,11.43,553,2639,https://www.prothomalo.com/bangladesh/article/1648695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04/2020,2,6,8,83,91
05/04/2020,18,88,1,9,10.23,367,3006,https://www.banglatribune.com/national/news/617089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/04/2020,1,9,9,92,101
06/04/2020,35,123,3,12,9.76,468,3610,https://www.prothomalo.com/bangladesh/article/1649085/,NA,138,330,468,2114,1496,3610,15,20,35,93,30,123,NA,NA,06/04/2020,3,9,12,101,113
07/04/2020,41,164,5,17,10.37,679,4289,https://www.prothomalo.com/bangladesh/article/1649331,NA,157,522,679,2271,2018,4289,30,11,41,123,41,164,NA,NA,07/04/2020,5,15,17,116,133
08/04/2020,54,218,3,20,9.17,981,5270,https://www.prothomalo.com/bangladesh/article/1649492/,NA,NA,NA,NA,NA,NA,NA,31,23,54,154,64,218,NA,NA,08/04/2020,3,5,20,121,141
09/04/2020,112,330,1,21,6.36,1097,6367,https://www.prothomalo.com/bangladesh/article/1649711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/04/2020,1,10,21,131,152
10/04/2020,94,424,6,27,6.37,1184,7551,https://www.prothomalo.com/bangladesh/article/1649921,NA,196,988,1184,2899,4460,7359,53,41,94,252,172,424,NA,NA,10/04/2020,6,10,27,141,168
11/04/2020,58,482,3,30,6.22,762,8313,https://www.prothomalo.com/bangladesh/article/1650101,NA,276,678,954,3175,5138,8313,NA,NA,NA,NA,NA,NA,NA,NA,11/04/2020,3,7,30,148,178
12/04/2020,139,621,4,34,5.48,1340,9653,https://www.prothomalo.com/bangladesh/article/1650300,NA,209,1131,1340,3384,6269,9653,44,95,139,316,305,621,4.865209762,9.338061466,12/04/2020,4,5,34,153,187
13/04/2020,182,803,5,39,4.86,1570,11223,https://www.prothomalo.com/bangladesh/article/1650547/,NA,362,1208,1570,3746,7477,11223,57,125,182,373,430,803,5.75096964,9.957287774,13/04/2020,5,6,39,159,198
14/04/2020,209,1012,7,46,4.55,1905,13128,https://www.prothomalo.com/bangladesh/article/1650773,NA,317,1588,1905,4063,9065,13128,52,157,209,425,587,1012,6.475455047,10.46025105,14/04/2020,7,15,46,174,220
15/04/2020,219,1231,4,50,4.06,1740,14868,https://www.prothomalo.com/bangladesh/article/1650937,NA,349,1391,1740,4412,10456,14868,82,137,219,507,724,1231,6.924254017,11.49138713,15/04/2020,4,9,50,183,233
16/04/2020,341,1572,10,60,3.82,2135,17003,https://www.prothomalo.com/bangladesh/article/1651151,NA,374,1761,2135,4786,12217,17003,99,242,341,606,966,1572,7.907014815,12.66193063,16/04/2020,10,13,60,196,256
17/04/2020,266,1838,15,75,4.08,2190,19193,https://www.prothomalo.com/bangladesh/article/1651410,NA,440,1750,2190,5226,13967,19193,75,191,266,681,1157,1838,8.283811842,13.03099885,17/04/2020,15,12,75,25,100
